epoch,lr,training_error,prediction_100_ms,prediction_200_ms,prediction_300_ms,prediction_400_ms,prediction_500_ms,prediction_600_ms,prediction_700_ms,prediction_800_ms,prediction_900_ms,prediction_1000_ms,prediction_error_average,baseline_100_ms,baseline_200_ms,baseline_300_ms,baseline_400_ms,baseline_500_ms,baseline_600_ms,baseline_700_ms,baseline_800_ms,baseline_900_ms,baseline_1000_ms,baseline_error_average
10,0.006302494097246091,43.5,8.3,15.4,23.9,32.4,41.5,51.3,61.0,71.3,82.4,93.5,45.0,30.2,59.4,87.6,115.1,141.8,167.7,193.1,217.8,242.1,265.9,143.3
20,0.0037735360253530726,36.0,7.1,14.2,22.4,31.2,39.5,48.7,58.4,68.8,79.7,91.0,43.0,30.2,59.4,87.6,115.1,141.8,167.7,193.1,217.8,242.1,265.9,143.3
30,0.0022593554099256553,32.5,6.3,12.9,20.7,28.5,36.9,45.8,55.8,65.5,76.5,87.1,40.7,30.2,59.4,87.6,115.1,141.8,167.7,193.1,217.8,242.1,265.9,143.3
40,0.0013527595427905588,30.4,6.2,12.7,19.6,27.3,35.7,44.8,54.6,64.6,74.8,85.3,39.7,30.2,59.4,87.6,115.1,141.8,167.7,193.1,217.8,242.1,265.9,143.3
50,0.0008099471081759276,29.2,5.9,12.1,19.0,26.4,34.7,43.5,52.9,62.8,73.1,83.7,38.6,30.2,59.4,87.6,115.1,141.8,167.7,193.1,217.8,242.1,265.9,143.3
60,0.0004849452524942309,28.5,5.8,11.9,18.6,26.2,34.4,43.3,52.8,62.8,73.0,83.6,38.4,30.2,59.4,87.6,115.1,141.8,167.7,193.1,217.8,242.1,265.9,143.3
70,0.0002903546361765785,28.1,5.8,11.8,18.5,26.0,34.3,43.3,52.8,62.7,73.0,83.5,38.4,30.2,59.4,87.6,115.1,141.8,167.7,193.1,217.8,242.1,265.9,143.3
80,0.0001738460461580376,27.8,5.7,11.7,18.4,25.8,34.1,42.9,52.3,62.2,72.5,83.1,38.1,30.2,59.4,87.6,115.1,141.8,167.7,193.1,217.8,242.1,265.9,143.3
90,0.00010408804957535733,27.7,5.7,11.7,18.3,25.8,34.0,42.9,52.3,62.2,72.4,82.9,38.0,30.2,59.4,87.6,115.1,141.8,167.7,193.1,217.8,242.1,265.9,143.3
100,6.232136021404205e-05,27.6,5.7,11.7,18.3,25.8,34.0,42.8,52.3,62.1,72.3,82.8,38.0,30.2,59.4,87.6,115.1,141.8,167.7,193.1,217.8,242.1,265.9,143.3
