epoch,lr,training_error,prediction_100_ms,prediction_200_ms,prediction_300_ms,prediction_400_ms,prediction_500_ms,prediction_600_ms,prediction_700_ms,prediction_800_ms,prediction_900_ms,prediction_1000_ms,prediction_error_average,baseline_100_ms,baseline_200_ms,baseline_300_ms,baseline_400_ms,baseline_500_ms,baseline_600_ms,baseline_700_ms,baseline_800_ms,baseline_900_ms,baseline_1000_ms,baseline_error_average
10,0.006302494097246091,74.5,16.8,33.0,44.9,60.3,76.8,94.1,110.1,127.3,142.2,163.3,81.5,64.9,130.7,197.0,263.2,328.9,393.4,456.1,516.5,574.1,628.6,334.5
20,0.0037735360253530726,63.8,14.3,28.6,40.1,54.4,68.9,84.8,101.3,115.6,132.0,148.7,74.0,64.9,130.7,197.0,263.2,328.9,393.4,456.1,516.5,574.1,628.6,334.5
30,0.0022593554099256553,57.9,14.1,26.2,39.3,52.5,68.0,83.5,100.1,117.0,133.8,149.6,73.7,64.9,130.7,197.0,263.2,328.9,393.4,456.1,516.5,574.1,628.6,334.5
40,0.0013527595427905588,54.4,13.3,25.6,37.0,51.4,66.7,81.7,97.5,114.0,129.0,144.2,71.4,64.9,130.7,197.0,263.2,328.9,393.4,456.1,516.5,574.1,628.6,334.5
50,0.0008099471081759276,52.4,13.5,25.1,38.0,51.6,66.5,81.5,97.1,112.3,129.0,143.4,71.2,64.9,130.7,197.0,263.2,328.9,393.4,456.1,516.5,574.1,628.6,334.5
60,0.0004849452524942309,51.2,13.5,26.3,38.3,51.7,66.5,83.5,99.4,115.3,131.1,146.5,72.4,64.9,130.7,197.0,263.2,328.9,393.4,456.1,516.5,574.1,628.6,334.5
70,0.0002903546361765785,50.4,13.5,24.6,36.7,49.8,64.1,79.5,95.2,110.3,126.3,141.0,69.4,64.9,130.7,197.0,263.2,328.9,393.4,456.1,516.5,574.1,628.6,334.5
80,0.0001738460461580376,50.0,13.2,24.7,37.0,50.4,64.9,80.2,96.4,111.8,127.7,143.1,70.2,64.9,130.7,197.0,263.2,328.9,393.4,456.1,516.5,574.1,628.6,334.5
90,0.00010408804957535733,49.7,12.9,24.4,36.4,49.7,64.6,80.2,95.9,111.3,127.0,141.7,69.7,64.9,130.7,197.0,263.2,328.9,393.4,456.1,516.5,574.1,628.6,334.5
100,6.232136021404205e-05,49.6,13.2,24.6,36.9,50.5,65.1,80.6,96.2,111.7,127.2,142.0,70.1,64.9,130.7,197.0,263.2,328.9,393.4,456.1,516.5,574.1,628.6,334.5
